mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.016251611709594726,0.0008475548691403465,0.0029172420501708983,7.486850575559932e-05,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8367346938775511,0.8333333333333334,0.8125,0.8333333333333334,0.75,0.8131802721088436,0.03273930998718152,24
0.023026227951049805,0.002013619459387563,0.004259777069091797,0.0005332095659129724,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8367346938775511,0.8333333333333334,0.8125,0.8125,0.7708333333333334,0.8131802721088436,0.02347400871396765,24
0.0779496669769287,0.023633485339232475,0.0018879890441894532,5.8752723755485965e-05,10.0,0.001,linear,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.875,0.8092687074829932,0.03956375971036326,27
0.08614444732666016,0.016878319289371724,0.001939105987548828,4.062848466977632e-05,10.0,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.875,0.8092687074829932,0.03956375971036326,27
0.07696523666381835,0.015001622705143042,0.0018986701965332032,4.7213765807557495e-05,10.0,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.875,0.8092687074829932,0.03956375971036326,27
0.0817842960357666,0.021897049422481888,0.0018807411193847655,5.148286938093815e-05,10.0,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.875,0.8092687074829932,0.03956375971036326,27
0.0877488136291504,0.013443331992408708,0.001980018615722656,0.00015039374424514158,10.0,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.875,0.8092687074829932,0.03956375971036326,27
0.08528156280517578,0.027084408238846575,0.0018982410430908204,7.658165090362363e-05,10.0,1,linear,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.7755102040816326,0.7708333333333334,0.8333333333333334,0.7916666666666666,0.875,0.8092687074829932,0.03956375971036326,27
0.017250967025756837,0.0005990569837695811,0.002788686752319336,0.0005913823097399785,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8367346938775511,0.8333333333333334,0.8125,0.8333333333333334,0.7291666666666666,0.8090136054421769,0.04083881891601305,33
0.018714761734008788,0.0007821658264134283,0.003300189971923828,0.0004457879160252544,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7959183673469388,0.8541666666666666,0.8125,0.75,0.7916666666666666,0.8008503401360544,0.03368313095780091,34
